ID,WorkflowStep,WorkflowStepStatus,WorkflowStepOutcome,ReasonName,InspectionBegin,InspectionFinish,InstallationDate,MeasureName,Installer,Inspector,PassedQty,FailedQty,IncentiveAmount,InstalledMeasureQty,UnitOfMeasure,FailCodes
159817,Inspection,Work Completed,Work Complete,,10/18/2023,2023-10-19,10/16/2023,"Premium Efficiency Toilets, 0.8 gallons per flush (gpf)",Installer 7136,Inspector 7138,1,0,400,1,Each,
159817,Inspection,Work Completed,Work Complete,,10/18/2023,2023-10-19,10/16/2023,"Premium Efficiency Toilets, 0.8 gallons per flush (gpf)",Installer 7136,Inspector 7138,1,0,400,1,Each,
159668,Inspection,Work Completed,Work Complete,,10/18/2023,2023-10-19,10/13/2023,"Premium Efficiency Toilets, 0.8 gallons per flush (gpf)",Installer 7136,Inspector 7138,1,0,400,1,Each,
159519,Inspection,Work Completed,Work Complete,,10/18/2023,2023-10-19,10/13/2023,"Premium Efficiency Toilets, 0.8 gallons per flush (gpf)",Installer 7136,Inspector 7138,1,0,400,1,Each,
159519,Inspection,Work Completed,Work Complete,,10/18/2023,2023-10-19,10/13/2023,"Premium Efficiency Toilets, 0.8 gallons per flush (gpf)",Installer 7136,Inspector 7138,1,0,400,1,Each,
159351,Inspection,Work Completed,Work Complete,,10/18/2023,2023-10-19,10/11/2023,"Premium Efficiency Toilets, 0.8 gallons per flush (gpf)",Installer 7136,Inspector 7138,1,0,400,1,Each,
159351,Inspection,Work Completed,Work Complete,,10/18/2023,2023-10-19,10/11/2023,"Premium Efficiency Toilets, 0.8 gallons per flush (gpf)",Installer 7136,Inspector 7138,1,0,400,1,Each,
158569,Inspection,Work Completed,Work Complete,,10/18/2023,2023-10-19,10/9/2023,"Premium Efficiency Toilets, 0.8 gallons per flush (gpf)",Installer 7136,Inspector 7138,1,0,400,1,Each,
56646,Reinspection,Work Completed,Work Complete,Pass,10/18/2023,2023-10-19,8/28/2023,"Small Tankless Water Heater, Tier 3 (UEF>=0.92), High Draw",Installer 7136,Inspector 7135,1,0,1900,1,Each,
3691,Inspection,Work Completed,Work Complete,,10/18/2023,2023-10-19,8/11/2023,Tankless Water Heaters,Installer 7316,Inspector 7138,1,0,1000,1,Each,
81428,Reinspection,Work Completed,Work Complete,,10/18/2023,2023-10-19,7/24/2023,"Duct Seal and Test, Residential, High (40% to 12%) SFm & MFm post 2006",Installer 7136,Inspector 7135,0,4,291.04,4,Cap-Tons,
81801,Reinspection,Work Completed,Work Complete,,10/18/2023,2023-10-19,7/28/2023,"Duct Seal and Test, Residential, High (40% to 12%) SFm & MFm pre 2006",Installer 7136,Inspector 7135,0,4,291.04,4,Cap-Tons,
82211,Reinspection,Work Completed,Work Complete,,10/18/2023,2023-10-19,7/27/2023,"Duct Seal and Test, Residential, High (40% to 12%) SFm & MFm pre 2006",Installer 7136,Inspector 7135,0,4,291.04,4,Cap-Tons,
82583,Reinspection,Work Completed,Work Complete,,10/18/2023,2023-10-19,7/31/2023,"Duct Seal and Test, Residential, High (40% to 12%) SFm & MFm post 2006",Installer 7136,Inspector 7135,0,3,218.28,3,Cap-Tons,
82993,Reinspection,Work Completed,Work Complete,,10/18/2023,2023-10-19,8/1/2023,"Duct Seal and Test, Residential, High (40% to 12%) SFm & MFm pre 2006",Installer 7136,Inspector 7135,0,3,218.28,3,Cap-Tons,
83850,Reinspection,Work Completed,Work Complete,,10/18/2023,2023-10-19,8/7/2023,"Duct Seal and Test, Residential, High (40% to 12%) SFm & MFm post 2006",Installer 7136,Inspector 7135,0,3,218.28,3,Cap-Tons,
84652,Reinspection,Work Completed,Work Complete,,10/18/2023,2023-10-19,8/9/2023,"Duct Seal and Test, Residential, High (40% to 12%) SFm & MFm pre 2006",Installer 7136,Inspector 7135,0,3,218.28,3,Cap-Tons,
1381,Inspection,Work Completed,Work Complete,,10/17/2023,2023-10-18,8/28/2023,Pool Heaters,Installer 7316,Inspector 7316,1,0,400,1,Each,
70248,Inspection,Work Completed,Work Complete,,10/17/2023,2023-10-19,6/6/2023,Tankless Water Heaters,Installer 7316,Inspector 7138,1,0,1000,1,Each,
70248,Inspection,Work Completed,Work Complete,,10/17/2023,2023-10-19,6/6/2023,Existing Equipment,Installer 7316,Inspector 7138,1,0,0,1,Each,
70360,Inspection,Work Completed,Work Complete,,10/17/2023,2023-10-19,7/5/2023,Tankless Water Heaters,Installer 7316,Inspector 7138,1,0,800,1,Each,
70360,Inspection,Work Completed,Work Complete,,10/17/2023,2023-10-19,7/5/2023,Existing Equipment,Installer 7316,Inspector 7138,1,0,0,1,Each,
10809,Inspection,Work Completed,Work Complete,,10/18/2023,2023-10-19,9/14/2023,Energy Star Dryer,Installer 7135,Inspector 7138,1,0,70,1,Each,
999089,Inspection,Work Completed,Work Complete,,10/17/2023,2023-10-19,9/18/2023,Tankless Water Heaters,Installer 7316,Inspector 7138,1,0,1200,1,Each,
